,name,manaCost,type,text
3208,Exotic Orchard,,Land,{T}: Add one mana of any color that a land an opponent controls could produce.
20357,"Thalisse, Reverent Medium",{3}{W}{B},Legendary Creature — Human Cleric,"At the beginning of each end step, create X 1/1 white Spirit creature tokens with flying, where X is the number of tokens you created this turn."
490,Plains,,Basic Land — Plains,({T}: Add {W}.)
3024,Fell the Mighty,{4}{W},Sorcery,Destroy all creatures with power greater than target creature's power.
7268,Zulaport Cutthroat,{1}{B},Creature — Human Rogue Ally,"Whenever Zulaport Cutthroat or another creature you control dies, each opponent loses 1 life and you gain 1 life."
3226,Path of Ancestry,,Land,"Path of Ancestry enters the battlefield tapped.\n{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"
17454,Black Market Connections,{2}{B},Enchantment,"At the beginning of your precombat main phase, choose one or more —\n• Sell Contraband — Create a Treasure token. You lose 1 life.\n• Buy Information — Draw a card. You lose 2 life.\n• Hire a Mercenary — Create a 3/2 colorless Shapeshifter creature token with changeling. You lose 3 life. (It has every creature type.)"
550,Swords to Plowshares,{W},Instant,Exile target creature. Its controller gains life equal to its power.
74317,Obscura Storefront,,Land,"When Obscura Storefront enters the battlefield, sacrifice it. When you do, search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle and you gain 1 life."
881,Blood Artist,{1}{B},Creature — Vampire,"Whenever Blood Artist or another creature dies, target player loses 1 life and you gain 1 life."
12782,Ophiomancer,{2}{B},Creature — Human Shaman,"At the beginning of each upkeep, if you control no Snakes, create a 1/1 black Snake creature token with deathtouch."
3180,Arcane Sanctum,,Land,"Arcane Sanctum enters the battlefield tapped.\n{T}: Add {W}, {U}, or {B}."
11964,Idol of Oblivion,{2},Artifact,"{T}: Draw a card. Activate only if you created a token this turn.\n{8}, {T}, Sacrifice Idol of Oblivion: Create a 10/10 colorless Eldrazi creature token."
43035,Corpse Knight,{W}{B},Creature — Zombie Knight,"Whenever another creature enters the battlefield under your control, each opponent loses 1 life."
16814,Battle Angels of Tyr,{2}{W}{W},Creature — Angel Knight,"Flying, myriad\nWhenever Battle Angels of Tyr deals combat damage to a player, draw a card if that player has more cards in hand than each other player. Then you create a Treasure token if that player controls more lands than each other player. Then you gain 3 life if that player has more life than each other player."
7441,Negate,{1}{U},Instant,Counter target noncreature spell.
40225,Mirkwood Bats,{3}{B},Creature — Bat,"Flying\nWhenever you create or sacrifice a token, each opponent loses 1 life."
498,Swamp,,Basic Land — Swamp,({T}: Add {B}.)
490,Plains,,Basic Land — Plains,({T}: Add {W}.)
65603,Raffine's Tower,,Land — Plains Island Swamp,"({T}: Add {W}, {U}, or {B}.)\nRaffine's Tower enters the battlefield tapped.\nCycling {3} ({3}, Discard this card: Draw a card.)"
2682,Marneus Calgar,{2}{W}{U}{B},Legendary Creature — Astartes Warrior,"Double strike\nMaster Tactician — Whenever one or more tokens enter the battlefield under your control, draw a card.\nChapter Master — {6}: Create two 2/2 white Astartes Warrior creature tokens with vigilance."
